,press,temp,time
0,44922.4375,73.61328125,0.0
1,44924.546875,73.6083984375,0.02
2,44927.359375,73.60545349121094,0.04
3,44929.5,73.59967041015625,0.06
4,44923.484375,73.59681701660156,0.08
5,44926.125,73.5904541015625,0.1
6,44927.984375,73.58685302734375,0.12000000000000001
7,44927.234375,73.58335876464844,0.14
8,44927.953125,73.58012390136719,0.16
9,44926.40625,73.57408142089844,0.18
10,44927.71875,73.57179260253906,0.19999999999999998
11,44926.046875,73.56671142578125,0.21999999999999997
12,44931.234375,73.56492614746094,0.23999999999999996
13,44931.6875,73.56114196777344,0.25999999999999995
14,44926.765625,73.55570983886719,0.27999999999999997
15,44929.515625,73.55221557617188,0.3
16,44933.140625,73.5477294921875,0.32
17,44930.734375,73.54794311523438,0.34
18,44930.84375,73.54100036621094,0.36000000000000004
19,44934.953125,73.53775024414062,0.38000000000000006
20,44931.25,73.53138732910156,0.4000000000000001
21,44932.9375,73.50401306152344,0.4200000000000001
22,44937.515625,73.50180053710938,0.4400000000000001
23,44935.84375,73.49978637695312,0.46000000000000013
24,44934.546875,73.49482727050781,0.48000000000000015
25,44940.515625,73.49403381347656,0.5000000000000001
26,44936.328125,73.4908447265625,0.5200000000000001
27,44938.921875,73.48806762695312,0.5400000000000001
28,44936.5,73.48236083984375,0.5600000000000002
29,44942.765625,73.47901916503906,0.5800000000000002
30,44938.859375,73.47438049316406,0.6000000000000002
31,44946.03125,73.474853515625,0.6200000000000002
32,44940.171875,73.46992492675781,0.6400000000000002
33,44942.171875,73.466796875,0.6600000000000003
34,44940.96875,73.46441650390625,0.6800000000000003
35,44937.984375,73.45989990234375,0.7000000000000003
36,44943.84375,73.45542907714844,0.7200000000000003
37,44947.734375,73.44206237792969,0.7400000000000003
38,44946.5625,73.44035339355469,0.7600000000000003
39,44951.484375,73.43551635742188,0.7800000000000004
40,44947.71875,73.43496704101562,0.8000000000000004
41,44949.0,73.43112182617188,0.8200000000000004
42,44946.0625,73.42756652832031,0.8400000000000004
43,44950.671875,73.42680358886719,0.8600000000000004
44,44952.203125,73.42408752441406,0.8800000000000004
45,44951.65625,73.42442321777344,0.9000000000000005
46,44950.9375,73.42013549804688,0.9200000000000005
47,44947.5,73.41792297363281,0.9400000000000005
48,44953.546875,73.41532897949219,0.9600000000000005
49,44951.96875,73.41358947753906,0.9800000000000005
50,44951.4375,73.41001892089844,1.0000000000000004
51,44951.921875,73.40962219238281,1.0200000000000005
52,44952.890625,73.40544128417969,1.0400000000000005
53,44955.84375,73.40550231933594,1.0600000000000005
54,44950.75,73.40228271484375,1.0800000000000005
55,44956.5,73.400634765625,1.1000000000000005
56,44955.515625,73.3988037109375,1.1200000000000006
57,44949.40625,73.39569091796875,1.1400000000000006
58,44953.71875,73.39697265625,1.1600000000000006
59,44952.1875,73.39326477050781,1.1800000000000006
60,44956.890625,73.39077758789062,1.2000000000000006
61,44953.640625,73.38885498046875,1.2200000000000006
62,44958.390625,73.38731384277344,1.2400000000000007
63,44957.8125,73.38816833496094,1.2600000000000007
64,44958.3125,73.38301086425781,1.2800000000000007
65,44953.078125,73.38261413574219,1.3000000000000007
66,44953.984375,73.38070678710938,1.3200000000000007
67,44958.3125,73.37962341308594,1.3400000000000007
68,44961.03125,73.37808227539062,1.3600000000000008
69,44958.265625,73.37565612792969,1.3800000000000008
70,44957.5,73.37452697753906,1.4000000000000008
71,44956.953125,73.37387084960938,1.4200000000000008
72,44960.53125,73.37289428710938,1.4400000000000008
73,44969.359375,73.3697509765625,1.4600000000000009
74,44962.09375,73.37013244628906,1.4800000000000009
75,44964.609375,73.36668395996094,1.5000000000000009
76,44965.5625,73.36630249023438,1.520000000000001
77,44961.0,73.36549377441406,1.540000000000001
78,44965.03125,73.36688232421875,1.560000000000001
79,44973.78125,73.36338806152344,1.580000000000001
80,44965.265625,73.36080932617188,1.600000000000001
81,44962.1875,73.36146545410156,1.620000000000001
82,44966.6875,73.36044311523438,1.640000000000001
83,44964.59375,73.36004638671875,1.660000000000001
84,44968.84375,73.35820007324219,1.680000000000001
85,44969.46875,73.35594177246094,1.700000000000001
86,44969.171875,73.35662841796875,1.720000000000001
87,44970.265625,73.35540771484375,1.740000000000001
88,44963.78125,73.35342407226562,1.7600000000000011
89,44977.234375,73.35174560546875,1.7800000000000011
90,44971.09375,73.35252380371094,1.8000000000000012
91,44970.375,73.35205078125,1.8200000000000012
92,44973.703125,73.35276794433594,1.8400000000000012
93,44966.78125,73.35000610351562,1.8600000000000012
94,44968.75,73.35035705566406,1.8800000000000012
95,44972.0625,73.34730529785156,1.9000000000000012
96,44974.859375,73.34649658203125,1.9200000000000013
97,44971.265625,73.34767150878906,1.9400000000000013
98,44976.390625,73.34710693359375,1.9600000000000013
99,44974.984375,73.34613037109375,1.9800000000000013
100,44972.4375,73.34658813476562,2.0000000000000013
101,44971.0625,73.34480285644531,2.0200000000000014
102,44978.203125,73.34516906738281,2.0400000000000014
103,44978.78125,73.34576416015625,2.0600000000000014
104,44975.46875,73.34475708007812,2.0800000000000014
105,44978.8125,73.34590148925781,2.1000000000000014
106,44975.0,73.34530639648438,2.1200000000000014
107,44978.65625,73.34384155273438,2.1400000000000015
108,44979.21875,73.33952331542969,2.1600000000000015
109,44977.921875,73.34234619140625,2.1800000000000015
110,44978.109375,73.3421630859375,2.2000000000000015
111,44979.5,73.34150695800781,2.2200000000000015
112,44988.125,73.34199523925781,2.2400000000000015
113,44981.015625,73.34268188476562,2.2600000000000016
114,44980.984375,73.34440612792969,2.2800000000000016
