,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0,0.2744140625,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.0
1,0.27783203125,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.002
2,0.28173828125,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.004
3,0.27587890625,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.006
4,0.255859375,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.008
5,0.26416015625,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.01
6,0.26171875,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.012
7,0.2578125,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.014
8,0.2646484375,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.016
9,0.26806640625,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.018000000000000002
10,0.27099609375,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.020000000000000004
11,0.2744140625,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.022000000000000006
12,0.27392578125,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.024000000000000007
13,0.2744140625,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.02600000000000001
14,0.26513671875,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.02800000000000001
15,0.26220703125,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.030000000000000013
16,0.2724609375,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.032000000000000015
17,0.25732421875,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.034000000000000016
18,0.2646484375,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.03600000000000002
19,0.27392578125,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.03800000000000002
20,0.27392578125,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.04000000000000002
21,0.27587890625,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.04200000000000002
22,0.25927734375,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.044000000000000025
23,0.26513671875,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.04600000000000003
24,0.26611328125,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.04800000000000003
25,0.27734375,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.05000000000000003
26,0.28369140625,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.05200000000000003
27,0.2734375,-2.03173828125,-8.25830078125,-143.94625000000002,17.771250000000002,-143.94625000000002,0.054000000000000034
